Date	Heure	Vm	Vc	V. Moy.	T	Tu	Cde TC	Am	Ac	A. moy.	Coef. X	Tc	Tcf	Tf
12/01/2011	16:21	-2,748274	150	2,623311	65,562961	65	0	-0,197601	50	-0,016457	5	64,999804	64,999869	64,38461
12/01/2011	16:21	-1,586439	150	2,598253	65,404317	65	0	1,161835	50	-0,009443	5	64,999823	64,999881	65,234475
12/01/2011	16:22	-0,904563	150	2,577526	65,31386	65	0	0,681876	50	-0,005352	5	64,99984	64,999893	65,224785
12/01/2011	16:22	-2,629673	150	2,546895	65,050893	65	0	-1,725109	50	-0,015469	5	64,999855	64,999903	63,308981
12/01/2011	16:23	-3,343946	150	2,512446	64,716499	65	5	-0,714273	50	-0,019555	5	64,999869	64,999912	63,093211
12/01/2011	16:23	-3,194992	150	2,479263	64,397	65	5	0,148954	50	-0,018576	5	64,999881	64,99992	63,178584
12/01/2011	16:24	-1,443312	150	2,456589	64,252668	65	5	1,75168	50	-0,008343	5	64,999893	64,999928	64,376016
12/01/2011	16:24	-3,223772	150	2,423944	63,930291	65	5	-1,78046	50	-0,018527	5	64,999903	64,999935	61,928598
12/01/2011	16:25	-2,989008	150	2,393012	63,63139	65	5	0,234763	50	-0,01708	5	64,999912	64,999941	62,529692
12/01/2011	16:25	-2,75024	150	2,363789	63,356366	65	5	0,238768	50	-0,015626	5	64,99992	64,999947	62,351777
12/01/2011	16:26	-2,641733	150	2,33551	63,092193	65	5	0,108507	50	-0,014925	5	64,999928	64,999952	62,078903
12/01/2011	16:26	-2,650554	150	2,307498	62,827138	65	5	-0,008822	50	-0,014891	5	64,999935	64,999956	61,763387
12/01/2011	16:27	-2,700926	150	2,279518	62,557045	65	5	-0,050372	50	-0,015089	5	64,999941	64,99996	61,456525
12/01/2011	16:27	6,466029	150	2,302776	63,203648	65	5	9,166956	50	0,035922	5	64,999947	64,999964	69,456842
12/01/2011	16:28	27,138626	150	2,439991	65,91751	65	0	20,672596	50	0,149937	5	64,999952	64,999968	85,041999
12/01/2011	16:28	26,457034	150	2,571953	68,563214	65	0	-0,681592	50	0,145368	5	64,999956	64,999971	78,873391
12/01/2011	16:29	14,06643	150	2,634764	69,969857	65	0	-12,390604	50	0,076866	5	64,99996	64,999974	70,640187
12/01/2011	16:29	10,924538	150	2,679817	71,062311	65	0	-3,141892	50	0,059372	5	64,999964	64,999976	74,175369
12/01/2011	16:30	6,724173	150	2,701679	71,734728	65	0	-4,200365	50	0,036347	5	64,999968	64,999978	72,744251
12/01/2011	16:30	5,221936	150	2,715228	72,256922	65	0	-1,502237	50	0,028075	5	64,999971	64,99998	73,744801
12/01/2011	16:31	3,25071	150	2,718092	72,581992	65	0	-1,971226	50	0,017383	5	64,999974	64,999982	73,093786
12/01/2011	16:31	5,66354	150	2,733759	73,148346	65	0	2,41283	50	0,030125	5	64,999976	64,999984	76,378894
12/01/2011	16:32	6,221486	150	2,752213	73,770495	65	0	0,557947	50	0,032918	5	64,999978	64,999985	76,482268
